id,phone,rssi_raw,rssi_median,rssi_kalman,distance
716634673,1,-47,-52,-26,0.5
690864300,1,-64,-69.5,-34.75,0.5
716634673,1,-48,-50,-36.36363636,0.5
690864300,1,-64,-69,-50.46143437,0.5
716634673,1,-48,-49,-40.77027827,0.5
690864300,1,-63,-67.5,-56.95530448,0.5
690864300,1,-67,-67,-60.05378011,0.5
716634673,1,-50,-50,-43.37323021,0.5
690864300,1,-66,-66.5,-61.68742577,0.5
716634673,1,-47,-49,-44.69834604,0.5
716634673,1,-50,-50,-45.75444218,0.5
690864300,1,-65,-66,-62.60363946,0.5
716634673,1,-47,-49,-46.3171936,0.5
690864300,1,-65,-66,-63.21977562,0.5
716634673,1,-47,-48,-46.57270604,0.5
690864300,1,-64,-66,-63.6589005,0.5
716634673,1,-49,-48.5,-46.83046869,0.5
690864300,1,-65,-66,-63.98586871,0.5
690864300,1,-65,-66,-64.23775373,0.5
716634673,1,-47,-48,-46.97077376,0.5
716634673,1,-50,-48.5,-47.13628751,0.5
690864300,1,-65,-65.5,-64.3805683,0.5
716634673,1,-49,-49,-47.32081151,0.5
690864300,1,-67,-66,-64.54703628,0.5
690864300,1,-65,-65.5,-64.63716677,0.5
716634673,1,-48,-48.5,-47.42884215,0.5
716634673,1,-50,-49,-47.56212549,0.5
690864300,1,-66,-66,-64.75594928,0.5
690864300,1,-67,-66,-64.8569349,0.5
716634673,1,-50,-49,-47.67619038,0.5
690864300,1,-63,-65,-64.86779973,0.5
716634673,1,-48,-48,-47.70030655,0.5
716634673,1,-83,-48,-47.72114213,0.5
690864300,1,-89,-65,-64.87714323,0.5
716634673,1,-81,-48,-47.73931971,0.5
690864300,1,-94,-65,-64.88526319,0.5
716634673,1,-61,-48,-47.75531423,0.5
690864300,1,-76,-65,-64.89238454,0.5
690864300,1,-72,-65,-64.89868035,0.5
716634673,1,-68,-48,-47.76949421,0.5
690864300,1,-73,-65.5,-64.93194871,0.5
716634673,1,-64,-49,-47.83705393,0.5
690864300,1,-72,-66,-64.98826039,0.5
716634673,1,-68,-49,-47.89828673,0.5
